 x(m), density, u, p, T
   1.75919724     ,   2.06906533     ,   215.796371     ,   2.25301528     ,   384.227081    
   1.77257526     ,   2.06906509     ,   215.796829     ,   2.25301361     ,   384.226807    
   1.78595316     ,   2.06905818     ,   215.798630     ,   2.25300145     ,   384.226013    
   1.79933107     ,   2.06904793     ,   215.801224     ,   2.25298333     ,   384.224792    
   1.81270897     ,   2.06904840     ,   215.801575     ,   2.25298309     ,   384.224701    
   1.82608688     ,   2.06905580     ,   215.800568     ,   2.25299406     ,   384.225189    
   1.83946490     ,   2.06907320     ,   215.797775     ,   2.25301933     ,   384.226288    
   1.85284281     ,   2.06908631     ,   215.795883     ,   2.25303745     ,   384.226929    
   1.86622071     ,   2.06908345     ,   215.796829     ,   2.25303268     ,   384.226624    
   1.87959862     ,   2.06905746     ,   215.801025     ,   2.25300193     ,   384.226227    
   1.89297652     ,   2.06904149     ,   215.804337     ,   2.25297952     ,   384.225372    
   1.90635443     ,   2.06909060     ,   215.797943     ,   2.25303531     ,   384.225769    
   1.91973245     ,   2.06910229     ,   215.791931     ,   2.25308847     ,   384.232635    
   1.93311036     ,   2.06881905     ,   215.852188     ,   2.25260758     ,   384.203247    
   1.94648826     ,   2.06805325     ,   216.043488     ,   2.25107074     ,   384.083282    
   1.95986617     ,   2.06007957     ,   215.511154     ,   2.24657989     ,   384.800690    
   1.97324407     ,   1.17618799     ,   0.00000000     ,   1.00000000     ,   300.000000    
   1.98662210     ,   1.17618799     ,   0.00000000     ,   1.00000000     ,   300.000000    
   2.00000000     ,   1.17618799     ,   0.00000000     ,   1.00000000     ,   300.000000    
